time,source,target,method
14.330901384353638,1,2,direct_radius
17.932363748550415,2,3,direct_radius
42.73043394088745,2,9,direct_radius
46.531243324279785,2,10,direct_radius
50.5248441696167,2,11,direct_radius
50.92078495025635,2,11,direct_radius
