time,p1,p2,distance,method
14.1136314868927,1,2,0.0,direct_radius
14.136656522750854,1,2,0.0,direct_radius
14.153640985488892,1,2,0.0,direct_radius
14.330901384353638,1,2,0.35183849930763245,direct_radius
17.932363748550415,2,3,0.3371516764163971,direct_radius
17.932363748550415,1,3,5.932440280914307,direct_radius
18.116869926452637,2,3,0.6674525141716003,direct_radius
18.116869926452637,1,3,5.866784572601318,direct_radius
18.316336631774902,2,3,1.0221633911132812,direct_radius
18.316336631774902,1,3,5.834020137786865,direct_radius
18.530636072158813,2,3,1.4466636180877686,direct_radius
18.530636072158813,1,3,5.768937110900879,direct_radius
18.72961664199829,2,3,1.8112753629684448,direct_radius
18.72961664199829,1,3,5.728312015533447,direct_radius
18.926092386245728,2,3,2.203550100326538,direct_radius
18.926092386245728,1,3,5.677464485168457,direct_radius
19.12755250930786,2,3,2.587451219558716,direct_radius
19.12755250930786,1,3,5.6137189865112305,direct_radius
19.326021909713745,2,3,2.962137460708618,direct_radius
19.326021909713745,1,3,5.578494548797607,direct_radius
19.52648687362671,2,3,3.351773977279663,direct_radius
19.52648687362671,1,3,5.506174087524414,direct_radius
19.72694969177246,2,3,3.719332695007324,direct_radius
19.72694969177246,1,3,5.476060390472412,direct_radius
19.927422046661377,2,3,4.113270282745361,direct_radius
19.927422046661377,1,3,5.426655292510986,direct_radius
20.126888275146484,2,3,4.4781317710876465,direct_radius
20.126888275146484,1,3,5.376102924346924,direct_radius
20.32937002182007,2,3,4.8753509521484375,direct_radius
20.32937002182007,1,3,5.323771953582764,direct_radius
20.52686882019043,2,3,5.25789213180542,direct_radius
20.52686882019043,1,3,5.250853538513184,direct_radius
20.72434091567993,2,3,5.624688148498535,direct_radius
20.72434091567993,1,3,5.221864700317383,direct_radius
20.92580246925354,2,3,6.013560771942139,direct_radius
20.92580246925354,1,3,5.174942493438721,direct_radius
21.12526822090149,2,3,6.38356876373291,direct_radius
21.12526822090149,1,3,5.1261491775512695,direct_radius
21.326731204986572,2,3,6.7785749435424805,direct_radius
21.326731204986572,1,3,5.075340270996094,direct_radius
21.52571415901184,2,3,7.145092964172363,direct_radius
21.52571415901184,1,3,5.023568153381348,direct_radius
21.725182056427002,2,3,7.5370001792907715,direct_radius
21.725182056427002,1,3,4.9722089767456055,direct_radius
22.382972240447998,2,3,8.00097942352295,direct_radius
22.382972240447998,1,3,4.799020767211914,direct_radius
22.382972240447998,4,3,8.00097942352295,direct_radius
22.48968815803528,2,3,8.026286125183105,direct_radius
22.48968815803528,1,3,4.79573392868042,direct_radius
22.48968815803528,4,3,8.026286125183105,direct_radius
22.508636474609375,2,3,8.233929634094238,direct_radius
22.508636474609375,1,3,4.7689127922058105,direct_radius
22.508636474609375,4,3,8.04773235321045,direct_radius
22.526588201522827,2,3,8.271196365356445,direct_radius
22.526588201522827,1,3,4.764102458953857,direct_radius
22.526588201522827,4,3,8.05361557006836,direct_radius
22.721644401550293,2,3,8.654851913452148,direct_radius
22.721644401550293,1,3,4.714217185974121,direct_radius
22.721644401550293,4,3,8.09688949584961,direct_radius
23.06482768058777,2,3,8.95626163482666,direct_radius
23.06482768058777,1,3,4.672743320465088,direct_radius
23.06482768058777,4,3,8.11539363861084,direct_radius
23.164872646331787,2,3,9.33788013458252,direct_radius
23.164872646331787,1,3,4.623241901397705,direct_radius
23.164872646331787,4,3,8.397893905639648,direct_radius
23.366995096206665,2,3,9.778973579406738,direct_radius
23.366995096206665,1,3,4.575751304626465,direct_radius
23.366995096206665,4,3,8.44002914428711,direct_radius
23.518136501312256,2,3,10.17598819732666,direct_radius
23.518136501312256,1,3,4.45286750793457,direct_radius
23.518136501312256,4,3,8.481803894042969,direct_radius
23.71959662437439,2,3,10.5703125,direct_radius
23.71959662437439,1,3,4.401845932006836,direct_radius
23.71959662437439,4,3,8.544489860534668,direct_radius
23.91633415222168,2,3,10.927979469299316,direct_radius
23.917330741882324,1,3,4.353783130645752,direct_radius
23.917330741882324,4,3,8.560623168945312,direct_radius
24.130287885665894,2,3,11.340907096862793,direct_radius
24.130287885665894,1,3,4.30072546005249,direct_radius
24.130287885665894,4,3,8.605325698852539,direct_radius
24.35668158531189,2,3,11.713140487670898,direct_radius
24.35668158531189,1,3,4.263339042663574,direct_radius
24.35668158531189,4,3,8.638007164001465,direct_radius
24.523468732833862,2,3,12.097807884216309,direct_radius
24.523468732833862,1,3,4.157638072967529,direct_radius
24.523468732833862,4,3,8.680904388427734,direct_radius
24.7194504737854,2,3,12.445965766906738,direct_radius
24.7194504737854,1,3,4.141650676727295,direct_radius
24.7194504737854,4,3,8.692692756652832,direct_radius
24.919919967651367,2,3,12.836729049682617,direct_radius
24.919919967651367,1,3,4.0810136795043945,direct_radius
24.919919967651367,4,3,8.758193016052246,direct_radius
25.121887683868408,2,3,13.229471206665039,direct_radius
25.121887683868408,1,3,4.029695987701416,direct_radius
25.121887683868408,4,3,8.802925109863281,direct_radius
25.324860095977783,2,3,13.598639488220215,direct_radius
25.324860095977783,1,3,4.005852222442627,direct_radius
25.324860095977783,4,3,8.838747024536133,direct_radius
25.531307458877563,2,3,14.001893997192383,direct_radius
25.531307458877563,1,3,3.9496917724609375,direct_radius
25.531307458877563,4,3,8.883637428283691,direct_radius
25.719802618026733,2,3,14.356574058532715,direct_radius
25.719802618026733,1,3,3.9133474826812744,direct_radius
25.719802618026733,4,3,8.913277626037598,direct_radius
26.424609661102295,2,3,15.112961769104004,direct_radius
26.424609661102295,1,3,3.287038803100586,direct_radius
26.424609661102295,4,3,9.471675872802734,direct_radius
26.424609661102295,5,3,15.112961769104004,direct_radius
26.441561460494995,2,3,15.194782257080078,direct_radius
26.441561460494995,1,3,3.281491279602051,direct_radius
26.441561460494995,4,3,9.480855941772461,direct_radius
26.441561460494995,5,3,15.194782257080078,direct_radius
26.45849084854126,2,3,15.227971076965332,direct_radius
26.45849084854126,1,3,3.2771894931793213,direct_radius
26.45849084854126,4,3,9.484575271606445,direct_radius
26.45849084854126,5,3,15.19947338104248,direct_radius
26.52331829071045,2,3,15.35306167602539,direct_radius
26.52331829071045,1,3,3.260998010635376,direct_radius
26.52331829071045,4,3,9.49685001373291,direct_radius
26.52331829071045,5,3,15.215445518493652,direct_radius
26.72381830215454,2,3,15.744827270507812,direct_radius
